Animalia	Arthropoda	Malacostraca	Decapoda	Cambaridae	Orconectes	Orconectes virilis
Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Simocephalus	Simocephalus serrulatus
Animalia	Arthropoda	Arachnida	Trombidiformes	Limnesiidae	Limnesia	Limnesia undulatoides
Animalia	Arthropoda	Diplopoda	Julida	Julidae	Cylindroiulus	Cylindroiulus punctatus
Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Echinogammarus	Echinogammarus obtusatus
Animalia	Arthropoda	Insecta	Psocodea	Psocidae	Loensia	Loensia maculosa
Animalia	Arthropoda	Malacostraca	Isopoda	Porcellionidae	Porcellio	Porcellio spinicornis
Animalia	Arthropoda	Insecta	Thysanoptera	Thripidae	Anaphothrips	Anaphothrips obscurus
Animalia	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Hippolyte	Hippolyte californiensis
Animalia	Arthropoda	Insecta	Thysanoptera	Thripidae	Limothrips	Limothrips denticornis
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Rhithrogena	Rhithrogena robusta
Animalia	Arthropoda	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllus	Ceratophyllus vison
Animalia	Arthropoda	Insecta	Thysanoptera	Thripidae	Aptinothrips	Aptinothrips stylifer
Animalia	Arthropoda	Insecta	Trichoptera	Limnephilidae	Limnephilus	Limnephilus dispar
Animalia	Arthropoda	Insecta	Trichoptera	Limnephilidae	Limnephilus	Limnephilus ademus
Animalia	Arthropoda	Insecta	Thysanoptera	Thripidae	Tenothrips	Tenothrips frici
Animalia	Arthropoda	Arachnida	Trombidiformes	Lebertiidae	Lebertia	Lebertia inaequalis
Animalia	Arthropoda	Arachnida	Trombidiformes	Arrenuridae	Arrenurus	Arrenurus wardi
Animalia	Arthropoda	Insecta	Psocodea	Philotarsidae	Philotarsus	Philotarsus californicus
Animalia	Arthropoda	Insecta	Trichoptera	Limnephilidae	Anabolia	Anabolia bimaculata
Animalia	Arthropoda	Insecta	Thysanoptera	Phlaeothripidae	Hoplothrips	Hoplothrips karnyi
Animalia	Arthropoda	Insecta	Psocodea	Ectopsocidae	Ectopsocus	Ectopsocus briggsi
Animalia	Arthropoda	Insecta	Psocodea	Mesopsocidae	Mesopsocus	Mesopsocus laticeps
Animalia	Arthropoda	Arachnida	Prostigmata	Tetranychidae	Tetranychus	Tetranychus pacificus
Animalia	Arthropoda	Hexanauplia	Cyclopoida	Cyclopidae	Mesocyclops	Mesocyclops edax
Animalia	Arthropoda	Diplopoda	Julida	Blaniulidae	Choneiulus	Choneiulus palmatus
Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus	Hemigrapsus oregonensis
Animalia	Arthropoda	Hexanauplia	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops capillatus
Animalia	Arthropoda	Insecta	Trichoptera	Limnephilidae	Limnephilus	Limnephilus externus
Animalia	Arthropoda	Insecta	Psocodea	Lachesillidae	Lachesilla	Lachesilla anna
Animalia	Arthropoda	Diplopoda	Julida	Blaniulidae	Proteroiulus	Proteroiulus fuscus
